NAME,GDP2014,GDP2013,GDP2012,GDP2011,GDP2010,GDP2009,GDP2008,GDP2007,GDP2006,GDP2005,POP2014,CITYJOBS2013,INVFA2014,HOUSE2014,ELECTRICITY2013,CPI2014,FOREST2013,EDU2011,NEWSPAPER2013,ACCNUM2013,ACCDEAD2013,ACCINJ2013
北京,21330.83,19800.81,17879.4,16251.93,14113.58,12153.03,11115,9846.81,8117.78,6969.52,2152,742.26,6924.24,1454.19,913.1,101.6,101.35,7373843,67.2,3063,860,3359
天津,15722.47,14442.01,12893.88,11307.28,9224.46,7521.85,6719.01,5252.76,4462.74,3905.64,1517,302.44,10518.17,1612.98,774.5,101.9,15.62,4136097,45.9,4313,836,4920
河北,29421.15,28442.95,26575.01,24515.76,20394.26,17235.48,16011.97,13607.32,11467.6,10012.11,7384,653.36,26671.9,5706.19,3251.2,101.7,718.08,8447882,44,5204,2501,4770
山西,12759.44,12665.25,12112.83,11237.55,9200.86,7358.31,7315.4,6024.45,4878.61,4230.53,3648,464.04,12296.06,1576.27,1832.3,101.7,765.55,5494903,28.9,5303,2133,5520
内蒙古,17769.51,16916.5,15880.58,14359.88,11672,9740.25,8496.2,6423.18,4944.25,3905.03,2505,303.84,17585.05,2457.18,2181.9,101.6,4398.89,5040005,7.4,3643,1096,3514
辽宁,28626.58,27213.22,24846.43,22226.7,18457.27,15212.49,13668.58,11164.3,9304.52,8047.26,4391,689.07,24730.83,5754.81,2008.5,101.7,699.89,7809413,81.5,5777,2015,5527
吉林,13803.81,13046.4,11939.24,10568.83,8667.58,7278.75,6426.1,5284.69,4275.12,3620.27,2752,338.44,11486.54,1581.72,653.8,102,856.19,4293877,34.8,2458,1345,2310
黑龙江,15039.38,14454.91,13691.58,12582,10368.6,8587,8314.37,7104,6211.8,5513.7,3833,467.79,9878.19,2475.74,845.2,101.5,2207.4,4838173,28.1,3283,1158,3294
上海,23560.94,21818.15,20181.72,19195.69,17165.98,15046.45,14069.86,12494.01,10572.24,9247.66,2426,618.84,6016.47,2084.66,1410.6,102.7,7.73,7106255,58.8,2011,914,1458
江苏,65088.32,59753.37,54058.22,49110.27,41425.48,34457.3,30981.98,26018.48,21742.05,18598.69,7960,1503.25,41938.65,9846.84,4956.6,102.2,178.7,15882132,134,13395,4679,12177
